filter_size,learning_rate,dropout,rmse,std,coverage
3,0.0001,0.02,0.6194554725161789,0.5751386478756882,98.13414019162884
3,0.0001,0.01,0.6348783881579516,0.44240593229474695,94.04942007060009
3,0.0001,0.1,0.6829897104197078,1.2185189050113177,100.0
3,0.0001,0.2,0.7452149543807381,1.7418674090064188,100.0
3,0.001,0.02,0.7079256767930107,0.4992471926633274,95.15885022692889
3,0.001,0.01,0.6959341798564567,0.3894246518200035,89.51084215834594
3,0.001,0.1,0.704211681728064,0.7692531418750788,99.34442763489663
3,0.001,0.2,0.7077493009266322,0.6997397895137218,95.51185073121533
3,0.01,0.02,2.399082088280396,0.4196951550827067,34.493192133131615
3,0.01,0.01,0.7548246046208714,0.35544502389418065,83.66111951588502
3,0.01,0.1,3.3797884474807884,0.41018092919092725,28.643469490670704
3,0.01,0.2,2.3970876045305722,0.5791158817562545,48.15935451336359
5,0.0001,0.02,0.6693631392960624,0.5806981839426577,97.8315683308119
5,0.0001,0.01,0.6358097230136436,0.4482627186779659,94.04942007060009
5,0.0001,0.1,0.6785588364777608,1.204113982416005,100.0
5,0.0001,0.2,0.7048072838035554,1.7581389420408253,100.0
5,0.001,0.02,0.6633476504847604,0.5112668286500365,96.62128088754413
5,0.001,0.01,0.6483685712407132,0.3814075833533108,91.72970247100352
5,0.001,0.1,0.7069432349722723,0.7732337582526015,98.9409984871407
5,0.001,0.2,0.6905154460167838,0.8463288343472234,98.68885526979324
5,0.01,0.02,0.7956275258912701,0.4892676180844369,91.52798789712556
5,0.01,0.01,0.7533168745185926,0.35712322064357815,84.56883509833585
5,0.01,0.1,0.7614907555462866,0.6796587913079514,97.02471003530006
5,0.01,0.2,2.408657501786441,0.593700994741311,49.52092788703984
7,0.0001,0.02,0.658909645556385,0.5774807366724238,98.28542612203732
7,0.0001,0.01,0.6336027675326968,0.43748015827742237,93.9989914271306
7,0.0001,0.1,0.7120218956202269,1.2093589082907523,100.0
7,0.0001,0.2,0.7316667061502823,1.748306618422854,100.0
7,0.001,0.02,0.665658846457351,0.5033336364881827,96.06656580937972
7,0.001,0.01,0.6531648115148047,0.3794629128576074,90.46898638426626
7,0.001,0.1,0.6812965496198773,0.7698938873823337,98.78971255673223
7,0.001,0.2,0.6808733971153904,0.7172115316626374,96.87342410489158
7,0.01,0.02,0.7566395468445661,0.49154956291827273,93.5451336359052
7,0.01,0.01,2.390151716701086,0.3452852737151997,29.147755925365608
7,0.01,0.1,0.7882153746736156,0.6857182098104101,96.8229954614221
7,0.01,0.2,2.386806963026439,0.40558656553054834,33.73676248108926
