Exp Name;Final Val MSE;Final Val R²
N1;1,193814992904663;0,7999870181083679
N2;0,7419682145118713;0,8756898641586304
N3;0,5934585332870483;0,900571346282959
N4;0,5557936429977417;0,9068817496299744
N5;0,9618149995803833;0,8388565182685852
N6;0,6886811256408691;0,8846176862716675
N7;0,7639473080635071;0,8720074892044067
N8;1,7213177680969238;0,7116086483001709
N9;0,9775612950325012;0,8362183570861816
N10;0,5170262455940247;0,9133768677711487
N11;0,8849244713783264;0,8517388105392456
N12;1,331842303276062;0,7768617272377014
N13;0,7493692636489868;0,8744499087333679
N14;1,0017642974853516;0,832163393497467
N15;3,172938585281372;0,46840256452560425
N16;0,5773082971572876;0,9032771587371826
N17;0,942268967628479;0,8421312570571899
N18;9,51684856414795;-0,5944626331329346
N19;27,689002990722656;-3,6390442848205566
N20;0,8082175254821777;0,8645904064178467
N21;0,768621563911438;0,8712243437767029
N22;0,7149704098701477;0,8802130818367004
N23;33,79015350341797;-4,661237716674805
N24;0,9219931364059448;0,8455283045768738
N25;1,1174898147583008;0,8127745985984802
N26;1,2475988864898682;0,7909759879112244
N27;0,948543906211853;0,8410799503326416
